parcela;idade;hdom;ab;vtcc;s
436;38,21;18,1;19,35;156,26;27,5
436;48,16;22,84;22,49;230,37;27,5
436;62,06;25,98;26,61;305,81;27,5
436;77,86;29,05;30,46;376,89;27,5
437;24,87;11,06;7,23;33,07;27,5
437;38,01;16,78;16,05;114,97;27,5
437;47,96;20;20,11;167,43;27,5
437;61,86;25,7;24,81;288,22;27,5
437;76,51;29,02;28,24;360,71;27,5
438;38,01;16,42;15,13;104,9;25,5
438;47,96;20,02;18,54;155,34;25,5
438;61,86;23,63;22,88;234,7;25,5
438;76,51;26,87;25,99;297,84;25,5
439;23,23;10,8;7,28;33,78;25,5
439;36,37;14,48;13,57;89,62;25,5
439;46,32;17,78;16,84;136,32;25,5
439;60,22;22,2;21,19;214,44;25,5
439;74,87;25,8;24,95;290,35;25,5
440;36,37;14,52;11,89;75,61;23,5
440;46,32;16,7;15,11;110,44;23,5
440;60,22;21,35;19,12;187;23,5
440;74,87;24,5;22,26;248,42;23,5
441;27,79;11,72;10,24;52,3;25,5
441;38,76;16,44;17,02;123,15;25,5
441;52,66;21,2;22,27;214,48;25,5
441;67,31;25,36;26,29;301,68;25,5
442;38,76;19,6;20,99;176,42;29,5
442;52,66;24,58;27,49;301,95;29,5
442;67,31;29,02;32,32;419,02;29,5
443;27,86;11,28;7,79;40,62;25,5
443;38,83;16,58;13,21;94,44;25,5
443;52,73;20,44;17,76;164,47;25,5
443;68,53;23,82;20,61;219,68;25,5
444;38,83;18,62;14,55;113,65;27,5
444;52,73;23,18;20,3;206,33;27,5
444;68,53;27,4;24,16;290,3;27,5
445;27,43;11,22;7,85;37,97;25,5
445;38,67;17,3;13,1;99,23;25,5
445;52,69;22,12;19,41;174,41;25,5
445;63,96;25,38;22,16;235,77;25,5
446;38,67;17,64;15,24;119,13;27,5
446;52,69;22,36;20,02;192,77;27,5
446;63,96;25,24;22,75;252,57;27,5
447;20,5;11,4;6,91;34,15;29,5
447;31,73;16,72;14,4;110,74;29,5
447;45,76;22,86;22,04;210,84;29,5
447;57,03;25,54;25,33;273,66;29,5
448;20,5;11,42;7,69;36,83;29,5
448;45,76;22,72;21,98;208,76;29,5
448;57,03;27,8;25,58;301,97;29,5
449;23,49;9,14;7,22;27,31;27,5
449;34,69;14,72;14,67;96,05;27,5
449;47,86;21,46;21,22;196,58;27,5
449;60,68;24,32;25,44;255,24;27,5
449;72,83;28,4;29,16;336,42;27,5
450;34,69;17,32;18,79;134,68;27,5
451;23,52;10,46;6,79;31,7;27,5
451;34,72;16,04;13,73;98,11;27,5
451;47,9;21,88;20,18;194,56;27,5
451;60,71;24,92;24,12;253,56;27,5
451;72,86;28,62;26,92;321,55;27,5
452;23,52;10,46;7,96;36,34;27,5
452;34,72;16,3;13,74;93,69;27,5
452;47,9;21,46;19,3;179,48;27,5
452;60,71;24,32;23,17;237,51;27,5
452;72,86;28,2;26,82;307,05;27,5
453;34,72;17,26;16,53;126,26;27,5
453;47,9;23,18;21,79;232,73;27,5
453;60,71;24,98;25,44;269,64;27,5
453;72,86;29,28;28,54;346,32;27,5
454;28,32;14;11,91;76,12;27,5
454;53,42;23,44;25,71;259,56;27,5
454;65,64;26,28;28,74;306,41;27,5
454;77,56;30,1;31,53;394,75;27,5
455;28,32;15,12;13,82;91,4;29,5
455;53,42;24,84;27,95;282,88;29,5
455;65,64;27,58;32,03;355,08;29,5
455;77,56;30,92;35,06;449,06;29,5
456;53,42;24;25,87;266,22;27,5
456;65,64;26,5;28,88;305,72;27,5
456;77,56;29,84;31,5;393,86;27,5
457;53,42;24,12;25,65;261,55;29,5
457;65,64;26,94;28,94;310,5;29,5
457;77,56;30,12;31,4;382,27;29,5
458;25,3;15,14;15,87;96,13;29,5
458;37,48;21,42;23,86;210,06;29,5
459;37,48;19,22;15,88;125,71;27,5
460;25,39;13,36;13,9;77,86;29,5
460;37,58;21,52;22,59;191,71;29,5
461;26,51;13,88;10,64;54,78;29,5
461;38,7;20,8;18,53;149,02;29,5
462;38,7;22,36;23,83;221;31,5
463;26,68;14,54;12,19;69,29;29,5
463;38,86;20,52;19,84;162,67;29,5
464;25,3;13,12;12,8;68,64;29,5
464;37,48;21,48;20,11;164,04;29,5
465;37,48;18,08;15,84;118,08;27,5
466;22,4;11,9;8,21;43,93;27,5
466;36,17;19,06;17,98;148,49;27,5
466;45,14;23,26;22,43;250,77;27,5
466;58,51;25,27;28,83;319,05;27,5
466;70,43;28,2;32,36;378,14;27,5
466;77,86;29,47;34,54;417,43;27,5
467;22,4;9,4;5,25;21,27;25,5
467;36,17;17;13,33;96,82;25,5
467;45,14;19,32;17,63;146,41;25,5
467;58,51;23,17;21,93;214,32;25,5
467;70,43;25,67;25,02;264,86;25,5
467;77,86;26,93;26,42;292,63;25,5
468;36,17;14,96;11,09;74,49;23,5
468;45,14;18,36;14,52;119,88;23,5
468;58,51;21,13;18,98;173,27;23,5
468;70,43;23,65;21,61;210,91;23,5
468;77,86;24,95;22,59;234,57;23,5
469;24,05;13,6;10,03;57,27;25,5
469;37,81;17,2;15,43;115,8;25,5
469;46,78;19,22;17,76;149,19;25,5
469;60,15;22,95;23,05;225,38;25,5
469;72,08;25,65;26,12;272,87;25,5
469;79,5;25,75;26,78;285,6;25,5
470;24,05;12,3;9,88;53,36;23,5
470;37,81;15,56;13,68;96,32;23,5
470;46,78;16,42;15,41;111,2;23,5
470;60,15;20,8;20,54;184,44;23,5
470;72,08;23,77;23,85;234,96;23,5
470;79,5;25,02;24,72;255,54;23,5
471;25,76;10,56;8,46;36,82;25,5
471;40,01;17,68;16,14;118,83;25,5
472;40,01;20,16;19,61;160,65;27,5
473;24,84;12,52;10,7;55,29;27,5
473;39,09;20,04;20,27;167,25;27,5
474;39,09;21,52;21,9;195,17;29,5
475;27,76;15,9;17,01;114,72;27,5
475;42,02;20,68;24,11;203,96;27,5
476;27,83;11,7;7,24;35,36;25,5
476;42,08;18,38;14,27;105,7;25,5
477;42,08;20,24;18,65;155,93;27,5
478;27,89;15,22;14,22;89,97;29,5
478;42,15;21,44;22,04;195,74;29,5
479;23,46;11,56;9,09;41,76;27,5
479;35,45;17,04;18,39;131,29;27,5
479;48,65;20,66;24,03;201,36;27,5
479;60,71;23,88;27,82;275,71;27,5
480;35,45;18,1;18,2;140,45;27,5
480;48,65;21,32;23,43;205,36;27,5
480;60,71;25,44;27,35;293,44;27,5
481;23,59;12,16;9,65;48,68;29,5
481;35,58;18,3;18,26;143,15;29,5
481;48,78;23,94;24,68;240,71;29,5
481;60,84;27,52;28,26;327,18;29,5
482;23,62;12,98;10,41;53,67;27,5
482;35,61;18,1;17,93;141,23;27,5
482;48,82;22,98;22,81;207,23;27,5
482;60,87;26,38;26,04;283,84;27,5
483;23,59;12,76;10,68;58,75;27,5
483;35,58;17,94;18,58;153,24;27,5
483;48,78;22,16;23,92;218,86;27,5
483;60,84;25,22;27,65;285,67;27,5
